appid,name,price,developer,publisher,average_forever,median_forever,ccu,genres
1384340,Cranked Up Soundtrack,899.0,BBlack Studio,BBlack Studio,0,0,0,
1383710,Embracelet Soundtrack,299.0,Mattis Folkestad,Machineboy,0,0,0,
1383950,Krystopia: A Puzzle Journey Original Soundtrack,199.0,Antler Interactive,Antler Interactive,0,0,0,
1383530,Cardaclysm Soundtrack,299.0,Elder Games,Headup,0,0,0,
1383610,Planet Zoo Soundtrack,479.0,Frontier Developments,Frontier Developments,0,0,0,
1382820,Liberated: Soundtrack Mixtape — Vol.1,0.0,"Atomic Wolf, L.INC",Walkabout,0,0,0,
1382930,Space Bar At The End Of The Galaxy Soundtrack,199.0,Little Black Book Entertainment,,0,0,0,
1382550,Bunny's Maze Soundtrack,99.0,ShortStackStudio,,0,0,0,
1382740,Apsulov: End of Gods Soundtrack,199.0,Angry Demon Studio,Angry Demon Studio,0,0,0,
1382760,Ever Forward Soundtrack,199.0,Pathea Games,Pathea Games,0,0,0,
1382780,Unforgiving - A Northern Hymn Soundtrack,149.0,Angry Demon Studio,Angry Demon Studio,0,0,0,
1381900,Pixel Ripped 1995 - Original Soundtrack,0.0,ARVORE Immersive Experiences,ARVORE Immersive Experiences,0,0,0,
1381910,Pixel Ripped 1995 - Extended Soundtrack,0.0,ARVORE Immersive Experiences,ARVORE Immersive Experiences,0,0,0,
1382040,Ancestors: The Humankind Odyssey Official Soundtrack,899.0,Panache Digital Games,Private Division,0,0,0,
1382140,The Caribbean Sail - Soundtrack,299.0,Victorian Clambake,,0,0,0,
1381800,Struggling Soundtrack,599.0,Chasing Rats Games,Frontier Foundry,0,0,0,
1381860,Krystopia: Nova´s Journey Original Soundtrack,299.0,Antler Interactive,Antler Interactive ,0,0,0,
1381140,CYNOROID GAIDEN Soundtrack,199.0,Crush-vAdin,,0,0,0,
1381180,THE IMPOSSIBLE SOUNDTRACK,49.0,"IMPOSSIBLE INC, Airem",Airem,0,0,0,
1381220,astro dash Soundtrack,199.0,RETROPE STUDIOS,MMUKGAMES,0,0,0,
1381230,Flower Shop: Summer In Fairbrook Soundtrack,299.0,Winter Wolves,,0,0,0,
1380550,Endless Bounty Soundtrack,349.0,WolfBite Interactive LLC,WolfBite Interactive LLC,0,0,0,
1380580,Spirited Heart Deluxe Soundtrack,99.0,Winter Wolves,Winter Wolves,0,0,0,
1380030,Hellpoint Original Soundtrack,499.0,Cradle Games,tinyBuild,0,0,0,
1544130,Super Crush KO Original Soundtrack,699.0,"Vertex Pop, Robby Duguay",Level Curve Inc.,0,0,0,
1544200,Final Winter Soundtrack,299.0,"Space Heater Games, Joshua ""ClowdAtlas"" Cloward",Space Heater Games,0,0,0,
1543580,Zenith Into Maronarium Soundtrack,199.0,derevotyan,derevotyan,0,0,0,
1543640,Nullum/Re-Nullum Soundtrack,99.0,Misc.261,Misc.261,0,0,0,
1543180,Tree of Savior - Snow in January 2021 OST Collection ,1999.0,"IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd.",0,0,0,
1543230,Speed Limit Soundtrack,0.0,Gamechuck,Chorus Worldwide Games,0,0,0,
1542600,Skullgirls: Original Soundtrack,999.0,Hidden Variable Studios,Autumn Games,0,0,0,
1540620,MUMBA IV: Egypt Jewels Soundtrack,99.0,Airem,Airem,0,0,0,
1540870,Cruelty Squad Soundtrack,299.0,Consumer Softproducts,Consumer Softproducts,0,0,0,
1539850,回门 Way Back Home Soundtrack,0.0,Finches Games,,0,0,0,
1539440,Flying Frags World Tour Soundtrack,0.0,Jackson Clayton,TheSmashers,0,0,0,
1537790,King of Seas Original Soundtrack,374.0,3DClouds,3DClouds,0,0,0,
1537860,Orwell's Animal Farm: Original Soundtrack,199.0,Murugan Thiruchelvam,The Dairymen,0,0,0,
1536810,鬼谷八荒 Soundtrack,0.0,鬼谷工作室,"鬼谷工作室, Lightning Games",0,0,0,
1536030,QV(큐브이) Soundtrack,499.0,IZZLE,"CFK Co., Ltd.",0,0,0,
1535440,Venus: Improbable Dream Soundtrack,499.0,Borealis,Borealis,0,0,0,
1535600,Nectar of the Gods Soundtrack,499.0,Ben Thomas,Ben Thomas,0,0,0,
1535860,Head AS Code Soundtrack,299.0,Miracle Moon,Miracle Moon,0,0,0,
1535380,Minute of Islands - Soundtrack,499.0,Studio Fizbin,Assemble Entertainment,0,0,0,
1534560,Crystorld Soundtrack,99.0,TOYURO,TOYURO,0,0,0,
1534210,Dragon Mission Soundtrack,0.0,Eduardo Blanchard,,0,0,0,
1534400,Vulgord's Tower Soundtrack,799.0,Stone Giant,Eleventh Key,0,0,0,
1533930,IWOCon 2021 Pirate Soundtrack,0.0,Indie World Order,Indie World Order,0,0,0,
1532730,Alchemist Adventure Soundtrack,499.0,Bad Minions,SuperGG.com,0,0,0,
1532930,Kaigrad Soundtrack,199.0,"Offline Games Group, Tarneos Team",Offline Games Group,0,0,0,
1532220,Zniw Adventure Soundtrack,0.0,Azure Mountain,Azure Mountain,0,0,0,
1532470,A Western Drama Soundtrack,399.0,TriBit Studio,IV Productions,0,0,0,
1532500,The Captain is Dead - Soundtrack,359.0,Thunderbox Entertainment,,0,0,0,
1531860,AdventNEON DEMO Soundtrack,399.0,CryoGX,CryoGX,0,0,0,
1530730,Genesis Noir Soundtrack,999.0,Feral Cat Den,Fellow Traveller,0,0,0,
1529820,Snowdrop Escape Original Soundtrack,0.0,SnowDropEscape development team,"Eduard Rostovtsev, SnowDropEscape development team",0,0,0,
1529450,Nerve Soundtrack,599.0,Gunfish Games,Gunfish Games,0,0,0,
1529320,Sword of the Necromancer Soundtrack,699.0,Grimorio of Games,"JanduSoft, Game Seer Ventures",0,0,0,
1528460,Death's Door Soundtrack,1000.0,Acid Nerve, Devolver Digital,0,0,0,
1528210,GravKitten Soundtrack,99.0,Hatus Quemuel,JOZGames,0,0,0,
1527440,MONOLISK Soundtrack,999.0,Trickster Arts,Trickster Arts,0,0,0,
1527760,Law Mower Soundtrack,199.0,Scoria Studios,Scoria Studios,0,0,0,
