appid,name,price,developer,publisher,average_forever,median_forever,ccu,genres
210053,Street Fighter X Tekken DLC - Heihachi (Swap Costume),99.0,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,0,Action
210054,Street Fighter X Tekken DLC - Kuma (Swap Costume),99.0,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,0,Action
210055,Street Fighter X Tekken DLC - Paul (Swap Costume),99.0,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,0,Action
210056,Street Fighter X Tekken DLC - Law (Swap Costume),99.0,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,0,Action
210057,Street Fighter X Tekken DLC - King (Swap Costume),99.0,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,0,Action
210058,Street Fighter X Tekken DLC - Marduk (Swap Costume),99.0,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,0,Action
210059,Street Fighter X Tekken DLC - Hwoarang (Swap Costume),99.0,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,0,Action
210060,Street Fighter X Tekken DLC - Steve (Swap Costume),99.0,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,0,Action
210061,Street Fighter X Tekken DLC - Bob (Swap Costume),99.0,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,0,Action
210062,Street Fighter X Tekken DLC - Julia (Swap Costume),99.0,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,0,Action
210063,Street Fighter X Tekken DLC - Yoshimitsu (Swap Costume),99.0,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,0,Action
210064,Street Fighter X Tekken DLC - Raven (Swap Costume),99.0,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,0,Action
210065,Street Fighter X Tekken DLC - Jin (Swap Costume),99.0,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,0,Action
210066,Street Fighter X Tekken DLC - Xiaoyu (Swap Costume),99.0,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,0,Action
210067,Street Fighter X Tekken DLC - Ogre (Swap Costume),99.0,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,0,Action
210068,Street Fighter X Tekken DLC - SF Swap Costume Complete Pack,1299.0,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,0,Action
209547,Strike Suit Zero Marauder DLC,0.0,,,0,0,0,
209548,Strike Suit Zero Heroes of the Fleet DLC,699.0,Born Ready Games Ltd.,Born Ready Games,0,0,0,"Action, Indie, Simulation"
209812,XCOM: Enemy Unknown: Slingshot DLC,699.0,"Firaxis Games, Feral Interactive (Linux)","2K, Feral Interactive (Linux)",0,0,0,Strategy
209817,XCOM: Enemy Unknown: Slingshot DLC Pre-Purchase,0.0,,,0,0,0,
209343,Ride to Hell: Retribution - Cook's Mad Recipe DLC,0.0,,,0,0,0,
209375,Analogue costume pack DLC,0.0,,,0,0,0,
209424,Dungeonbowl - DLC4,0.0,,,0,0,0,
209425,Dungeonbowl - DLC5,0.0,,,0,0,0,
209460,RAGE The Scorchers DLC,499.0,id Software,Bethesda Softworks,0,0,0,Action
208911,Shoot Many Robots DLC 1,0.0,,,0,0,0,
208983,Dismal Swamp DLC (macOS),0.0,,,0,0,0,
208985,Dismal Swamp German DLC,0.0,,,0,0,0,
208541,Dungeon Defenders - Series EV Hero DLC,399.0,Chromatic Games,Chromatic Games,0,0,0,"Indie, RPG, Strategy"
208544,Dungeon Defenders - Summoner Hero DLC,399.0,Trendy Entertainment,Trendy Entertainment,0,0,0,"Strategy, RPG, Indie"
208570,Dishonored: Dunwall City Trials DLC,299.0,Arkane Studios,Bethesda Softworks,0,0,0,"Action, Adventure"
208740,Game of Thrones DLC - Beyond the Wall (Blood Bound),499.0,Cyanide Studios ,Focus Home Interactive,0,0,0,"Action, RPG"
208462,Tryst Pre-Purchase Incentive DLC,0.0,,,0,0,0,
208470,Tryst: Survival DLC,199.0,BlueGiant Interactive,BlueGiant Interactive,0,0,0,"Action, Strategy, Indie"
208488,Assassin's Creed III - Benedict Arnold DLC Key,0.0,,,0,0,0,
207115,Ridge Racer Unbounded DLC 5,0.0,,,0,0,0,
207655,AVNT Soundtrack DLC,299.0,Misfits Attic,Misfits Attic,0,0,0,"Casual, Indie"
206881,Airline Tycoon 2: Honey Airlines DLC,599.0,b-Alive,Kalypso Media Digital,0,0,0,"Simulation, Strategy"
207010,Alien Spidy: Easy Breezy DLC,199.0,Enigma SP,Kalypso Media Digital,0,0,0,"Action, Adventure, Indie"
207111,Ridge Racer Unbounded DLC 1,49.0,BUGBEAR,BANDAI NAMCO Entertainment,0,0,0,Racing
207112,Ridge Racer Unbounded DLC 2,199.0,BUGBEAR,NAMCO BANDAI Games,0,0,0,Racing
207113,Ridge Racer Unbounded DLC 3,199.0,BUGBEAR,BANDAI NAMCO Entertainment,0,0,0,Racing
207114,Ridge Racer Unbounded DLC 4,399.0,BUGBEAR,BANDAI NAMCO Entertainment,0,0,0,Racing
206415,Crazy Machines Elements DLC - Gadget Fun & Tricky Riddles,299.0,Fakt Software,Viva Media,0,0,0,"Casual, Strategy"
206416,Crazy Machines Elements DLC - Collision Course & Mental Activity,299.0,Fakt Software,Viva Media,0,0,0,"Casual, Strategy"
206710,Cities In Motion - Design Dreams DLC,199.0,Colossal Order Ltd.,Paradox Interactive,0,0,0,Simulation
206711,Cities in Motion - Design Dreams DLC Mac,0.0,,,0,0,0,
204851,Babel Rising - DLC1,299.0,Mondoproduction,Ubisoft,0,0,0,"Action, Strategy"
204900,Quantum Conundrum DLC: The Desmond Debacle,299.0,Airtight Games,Square Enix,0,0,0,"Casual, Strategy"
204901,Quantum Conundrum DLC: IKE-aramba!,299.0,Airtight Games,Square Enix,0,0,0,"Casual, Strategy"
204386,Dungeon Defenders: Barbarian Hero DLC,299.0,Trendy Entertainment,Trendy Entertainment,0,0,0,"Action, RPG, Indie"
204470,Fallout New Vegas RU DLCs,0.0,,,0,0,0,
204732,Krater - Dr. Cerebro DLC,199.0,Fatshark,Fatshark,0,0,0,"Action, Adventure, Strategy, RPG, Indie"
204733,Krater - Support Your Local Dev Character DLC,0.0,,,0,0,0,
204734,Mayhem Mk13 Character DLC,299.0,Fatshark,Fatshark,0,0,0,"Action, Adventure, Strategy, RPG, Indie"
204303,Awesomenauts Soundtrack DLC,299.0,Ronimo Games,Ronimo Games,0,0,0,"Action, Indie, Strategy"
203344,Jagged Alliance: Back in Action - Shades of Red DLC,124.0,Coreplay GmbH,THQ Nordic,0,0,0,"RPG, Simulation, Strategy"
203345,Jagged Alliance: Back in Action - Point Blank DLC,499.0,Coreplay GmbH,THQ Nordic,0,0,0,"RPG, Simulation, Strategy"
203358,King's Bounty: Warriors of the North - Ice and Fire DLC,499.0,Revultive Games,Fulqrum Publishing,0,0,0,"RPG, Strategy"
202523,Dungeon Defenders DLC 8,0.0,Trendy Entertainment,,0,0,0,
202652,Steel Storm: Forgotten Prison DLC,199.0,Kot in Action Creative Artel,Kot in Action Creative Artel,0,0,0,"Action, Indie"
203050,Sword of the Stars II : Horde DLC,0.0,,,0,0,0,
202452,Crazy Machines 2: New Year DLC,299.0,Fakt Software,Viva Media,0,0,0,"Casual, Strategy"
202522,Dungeon Defengers DLC 7,0.0,Trendy Entertainment,,0,0,0,
201951,Age of Empires Online DLC: Bountiful Bushes: Empire Extras ,0.0,,,0,0,0,
201952,Age of Empires Online DLC: Ornate Ornaments: Empire Extras ,0.0,,,0,0,0,
201953,Age of Empires Online DLC: Premium Egyptian Civilization Pack  ,0.0,,,0,0,0,
201954,Age of Empires Online DLC: Premium Greek Civilization Pack,0.0,,,0,0,0,
201955,Age of Empires Online DLC: Windy’s Wild Widgets Store,0.0,,,0,0,0,
201956,Age of Empires Online DLC: Glorious Gardening: Empire Extras,0.0,,,0,0,0,
201957,Age of Empires Online DLC: Startling Statuary: Empire Extras,0.0,,,0,0,0,
201958,Age of Empires Online DLC: Defense of Crete Booster Pack,0.0,,,0,0,0,
201959,Age of Empires Online DLC: Special Launch Offer,0.0,,,0,0,0,
201960,Age of Empires Online DLC: Seasons Pass 1,0.0,,,0,0,0,
201961,Age of Empires Online DLC: Tantalizing Topiary: Empire Extras,0.0,,,0,0,0,
201962,Age of Empires Online DLC: Pro Persian Civilization,0.0,,,0,0,0,
201963,Age of Empires Online DLC: Special Pro Persia Launch Bundle,0.0,,,0,0,0,
201964,Age of Empires Online DLC: Skirmish Booster Pack,0.0,,,0,0,0,
201965,Age of Empires Online DLC: Premium Celtic Civilization Pack,0.0,,,0,0,0,
201966,Age of Empires Online - Summer Exclusive DLC,0.0,,,0,0,0,
201971,Age of Empires Online DLC: Steam Starter Pack,0.0,,,0,0,0,
201972,Age of Empires Online DLC: Celebration Grab Bag,0.0,,,0,0,0,
202010,Dungeon Defenders DLC 1,0.0,,,0,0,0,
202020,Dungeon Defenders DLC 2,0.0,,,0,0,0,
202030,Dungeon Defenders DLC 3,0.0,,,0,0,0,
202040,Dungeon Defenders DLC 4,0.0,,,0,0,0,
201100,Post Apocalyptic Mayhem: DLC 2 Chaos Pack,199.0,Steel Monkeys,Next Dimension Game Adventures Ltd.,0,0,0,"Action, Racing"
201272,Total War: SHOGUN 2 - Blood Pack DLC,299.0,"The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",0,0,0,Strategy
201273,Total War: SHOGUN 2 - Fall of the Samurai - Saga Faction Pack DLC,2999.0,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",0,0,0,Strategy
201275,Total War: SHOGUN 2 - Fall of the Samurai - Tsu Faction Pack DLC,749.0,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",0,0,0,Strategy
201276,Total War: SHOGUN 2 - Fall of the Samurai - Sendai Faction Pack DLC,2999.0,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",0,0,0,Strategy
201279,Total War: SHOGUN 2 - Saints and Heroes DLC,299.0,"The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",0,0,0,Strategy
200300,Defenders of Ardania - Battlemagic DLC,0.0,Most Wanted Entertainment,Paradox Interactive,0,0,0,Strategy
200310,Defenders of Ardania - Conjurer's Tricks DLC,299.0,Most Wanted Entertainment,Paradox Interactive,0,0,0,Strategy
200320,Serious Sam 3 Preorder DLC,0.0,,,0,0,0,
200321,Serious Sam 3 DLC2_Models,0.0,,,0,0,0,
200322,Serious Sam 3 DLC3_Models,0.0,,,0,0,0,
200396,Oil Rush DLC TD,99.0,Unigine LLC.,Unigine LLC.,0,0,0,"Strategy, Indie"
200590,Sonic Generations - Casino Night DLC,1999.0,Devil's Details,SEGA,0,0,0,Action
200730,Awesome DLC #1: You Will Eventually Come to a Point in Your Life Where You Appreciate Christmas Mall Music,0.0,,,0,0,0,
200187,Worms Revolution - Preorder DLC,0.0,,,0,0,0,
115308,Call of Duty: Black Ops II - Russian DLC,0.0,,,0,0,0,
111402,Bunch of Heroes DLC,99.0,NGD Studios,NGD Studios,0,0,0,"Action, Indie"
111403,Bunch of Heroes DLC2,0.0,NGD Studios,NGD Studios,0,0,0,"Action, Indie"
107104,Bastion Soundtrack DLC,999.0,Supergiant Games,Supergiant Games,0,0,0,"Action, Indie"
107702,ValveTestApp107700 DLC,0.0,,,0,0,0,
102620,Orcs Must Die! - Cardboard Tube Samurai DLC,0.0,,,0,0,0,
102621,Orcs Must Die! - War Mage's Toolbox DLC,0.0,,,0,0,0,
102622,Orcs Must Die! - Artifacts of Power DLC,199.0,Robot Entertainment,Robot Entertainment,0,0,0,"Action, Indie, Strategy"
102623,Orcs Must Die! - Lost Adventures DLC,299.0,Robot Entertainment,Robot Entertainment,0,0,0,"Action, Indie, Strategy"
102624,Orcs Must Die! - Knight of the Order DLC,0.0,,,0,0,0,
102002,CivilizationV-DLC Korea Mac,0.0,,,0,0,0,
102003,CivilizationV-DLC Ancient Wonders Mac,0.0,,,0,0,0,
99909,Spiral Knights - Sonic CD DLC,0.0,,,0,0,0,
98211,Frozen Synapse Red DLC,999.0,Mode 7,Mode 7,0,0,0,"Strategy, Indie"
98421,Hard Reset: Exile DLC,0.0,Flying Wild Hog,Good Shepherd Entertainment,0,0,0,Action
99508,TS14 99508 DLC,0.0,,,0,0,0,
99509,TS14 99509 DLC,0.0,,,0,0,0,
94205,Gunpowder Plot DLC Mac,0.0,,,0,0,0,
96308,Ravaged Full Game DLC,0.0,,,0,0,0,
91613,Sanctum: Slums DLC,0.0,,,0,0,0,
91614,Sanctum: Violator DLC,0.0,,,0,0,0,
91615,Sanctum: Cavern DLC,0.0,,,0,0,0,
91616,Sanctum: Christmas DLC,0.0,Coffee Stain Studios,Coffee Stain Publishing,0,0,0,"Action, Casual, Indie, Strategy"
91617,Sanctum: Tiger Hawkins DLC,0.0,,,0,0,0,
91920,Post Apocalyptic Mayhem: Death Area 8 DLC,0.0,,,0,0,0,
91930,Post Apocalyptic Mayhem DLC2,0.0,,,0,0,0,
92302,A.R.E.S. Berserker DLC,99.0,Extend Studio,ORiGO GAMES,0,0,0,"Action, Indie"
92620,Xotic DLC: Pipe Works Expansion Pack,199.0,"WXP Games, LLC","WXP Games, LLC",0,0,0,"Action, Indie"
92621,Xotic DLC: Temple Crypt Expansion Pack,199.0,"WXP Games, LLC","WXP Games, LLC",0,0,0,"Action, Indie"
92622,Xotic DLC: Warp Field Expansion Pack,199.0,"WXP Games, LLC","WXP Games, LLC",0,0,0,"Action, Indie"
90208,Farming Simulator 2011 - DLC 3,449.0,Giants Software,Giants Software,0,0,0,Simulation
90209,Farming Simulator 2011 - DLC 2,699.0,Giants Software,Giants Software,0,0,0,Simulation
90210,Farming Simulator 2011 - DLC 1,499.0,Giants Software,Giants Software,0,0,0,Simulation
91333,Iron Front : D-Day DLC,2499.0,"X1 Software, AWAR",Deep Silver,0,0,0,"Action, Strategy, Simulation"
91346,Dead Island: Ryder White DLC,0.0,,,0,0,0,
91602,Sanctum Journalist DLC,0.0,,,0,0,0,
91605,Sanctum: Aftermath DLC,0.0,,,0,0,0,
91606,Sanctum: Killing Floor DLC,0.0,,,0,0,0,
91607,Sanctum: Penetrator DLC,0.0,,,0,0,0,
91608,Sanctum: Aftershock DLC,0.0,,,0,0,0,
91609,Sanctum: Yogscave DLC,0.0,Coffee Stain Studios,Coffee Stain Studios,0,0,0,"Action, Strategy, Indie, Casual"
82128,Serious Sam 3  Jewel of the Nile DLC,0.0,Croteam,,0,0,0,Action
82141,Hell Yeah DLC Trailer French,0.0,,,0,0,0,
82142,Hell Yeah DLC Trailer,0.0,,,0,0,0,
82038,Dins Curse Demon War DLC Trailer,0.0,,,0,0,0,
81849,MMH6_DLC1_Trailer,0.0,Blackhole,,0,0,0,
81860,Stellar Impact Science Vessel DLC,0.0,"Tindalos Interactive, Headup Games",,0,0,0,
81863,Crazy Machines Invaders From Space DLC Trailer,0.0,Fakt Software,,0,0,0,
81887,Napoleon Total War DLCs PEGI Trailer,0.0,,,0,0,0,
81888,Napoleon Total War DLCs ESRB Trailer,0.0,,,0,0,0,
81889,Napoleon Total War DLCs USK Trailer,0.0,,,0,0,0,
81890,Napoleon Total War DLCs COB Trailer,0.0,,,0,0,0,
81767,Napoleon Total War DLC Trailer,0.0,The Creative Assembly,SEGA,0,0,0,
81702,Frozen Synapse Red DLC Trailer,0.0,Mode 7,,0,0,0,
81647,Serious Sam HD LOB DLC Trailer,0.0,,,0,0,0,
81682,Swords and Soldiers Sausage DLC Trailer,0.0,Ronimo Games,,0,0,0,
81613,Portal 2 DLC 2 Trailer,0.0,,,0,0,0,
81633,Iron Grip Warlord Scorched Earth DLC Trailer,0.0,ISOTX,,0,0,0,
81500,CME DLC GF and TR Trailer,0.0,Fakt Software,,0,0,0,
81501,CME DLC CC and MA Trailer,0.0,,,0,0,0,
81350,Saints Row: The Third Shark Attack DLC Trailer,0.0,Volition,THQ,0,0,0,
81308,Batman Arkham City Robin DLC,0.0,Rocksteady Studios,,0,0,0,Action
81310,Batman Arkham City Nightwing DLC Trailer,0.0,Rocksteady Studios,Warner Bros. Interactive Entertainment,0,0,0,Action
81316,Defense Grid - You Monster DLC Trailer,0.0,Hidden Path Entertainment,Hidden Path Entertainment,0,0,0,
81245,Crazy Machines 2 Halloween DLC,0.0,Fakt Software,,0,0,0,
81257,Dungeon Defenders Halloween DLC Trailer,0.0,Trendy Entertainment,,0,0,0,
81286,Steel Storm: Burning Retribution Weapon Pack DLC,0.0,,,0,0,0,
81191,The Baconing Roesha DLC Trailer,0.0,,,0,0,0,
81148,Fallout: New Vegas - Lonesome Road DLC,0.0,,,0,0,0,
81165,PAM DLC Fuzz Trailer,0.0,Steel Monkeys,Meridian4,0,0,0,"Action, Racing"
81166,PAM DLC TOWer Trailer,0.0,,,0,0,0,
81167,PAM DLC Ice Scream Trailer,0.0,,,0,0,0,
81174,Gratuitous Space Battles - The Parasites DLC Trailer,0.0,,,0,0,0,
81014,Civilization V - Korea DLC PEGI,0.0,,,0,0,0,
