appid,name,price,developer,publisher,average_forever,median_forever,ccu,genres
579600,Elephant Express VR Demo,0.0,Blob Lab,Blob Group Ltd,0,0,0,"Action, Adventure, Casual, Free to Play"
579460,Conquest: Frontier Wars Demo,0.0,Fever Pitch Studios,"Descendent Studios, Fever Pitch Studios",0,0,0,Strategy
578840,Behind You Demo,0.0,Hatipoglu Sores,OxPrimeStudio,0,0,0,"Violent, Gore, Adventure"
578940,LOVE 2: kuso (Demo),0.0,Fred Wood,Fred Wood,0,0,1,"Action, Free to Play, Indie"
577650,Bad Dream: Coma Demo,0.0,Desert Fox,PlayWay S.A.,0,0,2,"Adventure, Indie"
577200,Animal Lover Demo,0.0,Trainwreck Studios,Trainwreck Studios,0,0,0,"Sexual Content, Nudity"
576680,The Legends of Owlia Demo,0.0,Gradual Games,Gradual Games,0,0,0,"Action, Adventure, Indie"
576900,RAYGUN COMMANDO VR Demo,0.0,Chun Y.,Chun Y.,0,0,0,"Casual, Indie"
576970,Out Of The Box Demo,0.0,Nuclear Tales,Nuclear Tales,0,0,0,"Adventure, Casual, Indie, Simulation"
576330,Riding Out Demo,0.0,UnexEvo,UnexEvo,0,0,2,"Racing, RPG, Simulation"
575180,Dragon Skies VR Demo,0.0,Tristan Hodges,FoxLeap,0,0,1,"Action, RPG"
575220,Punch Bomb Demo,0.0,Chris Folea,Chris Folea,0,0,1,"Action, Indie"
573990,Teratini VR Demo,0.0,Shiny Moss,Shiny Moss,0,0,0,"Action, Adventure, Free to Play, Sports"
574130,Snow Fortress Demo,0.0,Mythical City Games,Mythical City Games,0,0,1,"Action Games, Casual, Indie, Simulation, Strategy"
574340,DragoDino Demo,0.0,TealRocks Studio,"TealRocks Studio, Plug In Digital",0,0,0,Indie
573560,</reality> Demo,0.0,Fancy Fish Games,Fancy Fish Games,0,0,0,"Adventure, Indie"
573630,Lemuria: Lost in Space Demo,0.0,EJRGames,EJRGames,0,0,0,"Adventure, Indie, RPG"
573220,ShapeLab Demo,,,,0,0,0,
573250,BAFL Demo,0.0,Oudidon,"Playdius, Plug In Digital",0,0,0,
573310,Cash_Out Multiplayer/Singeplayer Demo,0.0,Untouch,Untouch,0,0,0,Action
573480,Bunnyrama Demo,0.0,Starwind Games,Starwind Games,0,0,0,"Adventure, Casual, Free to Play, Indie, RPG, Strategy"
572460,Moto Racer  4 Demo,0.0,Artefacts Studio,Microids,0,0,1,Racing
572140,Koi Musubi English Demo,0.0,Narrator,Narrator,0,0,0,"Adventure, Indie"
572150,Fallen Demo,0.0,BT Studios,BT Studios,0,0,0,"Action, Adventure, Indie"
572200,Expect The Unexpected Demo,0.0,GoldenGod Games,GoldenGod Games,0,0,0,"Casual, Indie, RPG, Strategy"
571450,Super Red-Hot Hero Demo,0.0,StrangeLight Games,"Golden Bell Studios, LLC",0,0,0,"Action Games, Indie"
571480,Scrap Garden Demo,0.0,"Egidijus Bachur, Alexey Davydov",Flazm,0,0,0,"Action, Adventure, Indie"
571490,Tomato Jones Demo,0.0,HA Studio Ltd.,HA Studio Ltd.,0,0,0,"Action, Adventure, Casual, Indie"
571640,Spaceman Sparkles 3 Demo,0.0,tjern,tjern,0,0,1,"Action, Adventure"
571700,Kalaban Demo,0.0,Rayhouse Productions,Rayhouse Productions,0,0,1,Action
571090,Wells Demo,0.0,Tower Up Studios,Tower Up Studios,0,0,0,Action
569880,1979 Revolution: Black Friday Demo,0.0,"iNK Stories, N-Fusion Interactive",iNK Stories,0,0,0,"Violent, Adventure, Indie"
570080,Battle Dome Demo,0.0,Bad Bird Studios,Bad Bird Studios,0,0,0,Action
569580,Grave Danger Demo,0.0,JB Gaming Inc.,JB Gaming Inc.,0,0,0,"Action, Adventure, Indie"
569620,Metamorfose S Demo,0.0,fase3,fase3,0,0,0,"Action, Adventure, Indie"
569650,ZombieFight VR Demo,0.0,"Beijing Elysium Interactive Technology Co.,Ltd.","Beijing Elysium Interactive Technology Co.,Ltd.",0,0,1,"Action, Adventure, RPG"
569670,LoveKami -Divinity Stage- Demo,0.0,MoeNovel,MoeNovel,0,0,1,"Adventure, Casual, Simulation"
569170,Ghostlight Manor Demo,0.0,Digital Future Lab,Functional Unicorn,0,0,0,"Adventure, Casual, Indie, Strategy"
569470,Go For Launch: Mercury Demo,0.0,Joe Chisholm,Joe Chisholm,0,0,1,Simulation
568620,VERSUS: The Elite Trials Demo,0.0,Choice of Games,Choice of Games,0,0,1,"Adventure, Indie, RPG"
568210,Mobile Astro Demo,0.0,Raxasoft Games,Raxasoft Games,0,0,0,"Action, Indie"
567410,Infinity Saga Demo,0.0,CrimsonSpectreFox,CrimsonSpectreFox,0,0,0,"Action, Adventure, Free to Play, RPG, Strategy"
566770,Game Character Hub: Portfolio Edition Demo,0.0,Sebastien Bini,Degica,0,0,1,
566840,Metal Carnage Demo,0.0,Playvision,Playvision,0,0,0,"Action, Casual, Free to Play, Indie, Massively Multiplayer, Racing"
565940,The Devil's Duel Demo,0.0,Catch & Release,Catch & Release,0,0,0,"Action, Indie"
565420,Bad Pad Demo,0.0,"Headbang Games, Oray Studios",Headbang Games,0,0,1,"Violent, Gore, Action, Free to Play, Indie"
565440,Gem Monster Demo,0.0,keggame,keggame,0,0,0,"Adventure, Casual, Indie"
565480,Heroes of the Monkey Tavern Demo,0.0,Monkey Stories,Monkey Stories,0,0,1,"Action, Indie, RPG"
564800,JugiPaint Demo,0.0,Jugilus,Jugilus,0,0,1,Design & Illustration
630990,Dwarflings Demo,0.0,Starwind Games,Starwind Games,0,0,0,"Adventure, Indie, RPG, Strategy"
631190,SHOW MUST GO ON Demo,0.0,NiVision,NiVision,0,0,1,"Casual, Indie"
631300,Flairtender Demo,0.0,DigitalBadger Design LLC,DigitalBadger Design LLC,0,0,1,"Casual, Indie, Simulation"
630580,Vidar Demo,0.0,Razbury Games,Razbury Games,0,0,0,"Adventure, Casual, Indie, RPG"
630760,"HORIZON VANGUARD ""Location Test"" Demo",0.0,tain a.m. works,tain a.m. works,0,0,0,"Action, Indie"
630840,The Legacy: Forgotten Gates Demo,0.0,FIVE-BN GAMES,FIVE-BN GAMES,0,0,1,"Adventure, Casual"
630880,Styx: Shards of Darkness Demo,0.0,Cyanide Studio,Focus Home Interactive,0,0,2,"Violent, Action, Adventure"
